Country:text,Period:text,Year:year,values:number
United Kingdom,1992-2017,2014,30
United Kingdom,1992-2017,2015,31
United Kingdom,1992-2017,2016,33
United Kingdom,1992-2017,2017,24
Europe,1992-2017,1992,380
Europe,1992-2017,1993,391
Europe,1992-2017,1994,336
Europe,1992-2017,1995,302
Europe,1992-2017,1996,340
Europe,1992-2017,1997,283
Europe,1992-2017,1998,233
Europe,1992-2017,1999,207
Europe,1992-2017,2000,200
Europe,1992-2017,2001,169
Europe,1992-2017,2002,174
Europe,1992-2017,2003,189
Europe,1992-2017,2004,157
Europe,1992-2017,2005,144
Europe,1992-2017,2006,154
Europe,1992-2017,2007,142
Europe,1992-2017,2008,111
Europe,1992-2017,2009,116
Europe,1992-2017,2010,103
Europe,1992-2017,2011,103
Europe,1992-2017,2012,98
Europe,1992-2017,2013,85
Europe,1992-2017,2014,78
Europe,1992-2017,2015,70
Europe,1992-2017,2016,75
Europe,1992-2017,2017,84
Austria,2000-2017,2000,95
Austria,2000-2017,2001,96
Austria,2000-2017,2002,97
Austria,2000-2017,2003,83
Austria,2000-2017,2004,84
Austria,2000-2017,2005,78
Austria,2000-2017,2006,85
Austria,2000-2017,2007,55
Austria,2000-2017,2008,51
Austria,2000-2017,2009,53
Austria,2000-2017,2010,46
Austria,2000-2017,2011,49
Austria,2000-2017,2012,48
Austria,2000-2017,2013,46
Austria,2000-2017,2014,44
Austria,2000-2017,2015,44
Austria,2000-2017,2016,44
Austria,2000-2017,2017,44
Belgium,2000-2017,2000,1033
Belgium,2000-2017,2001,740
Belgium,2000-2017,2002,817
Belgium,2000-2017,2003,1033
Belgium,2000-2017,2004,944
Belgium,2000-2017,2005,891
Belgium,2000-2017,2006,804
Belgium,2000-2017,2007,655
Belgium,2000-2017,2008,574
Belgium,2000-2017,2009,634
Belgium,2000-2017,2010,567
Belgium,2000-2017,2011,548
Belgium,2000-2017,2012,486
Belgium,2000-2017,2013,381
Belgium,2000-2017,2014,343
Belgium,2000-2017,2015,315
Belgium,2000-2017,2016,326
Belgium,2000-2017,2017,388
Bulgaria,2000-2017,2000,557
Bulgaria,2000-2017,2001,456
Bulgaria,2000-2017,2002,493
Bulgaria,2000-2017,2003,417
Bulgaria,2000-2017,2004,325
Bulgaria,2000-2017,2005,258
Bulgaria,2000-2017,2006,351
Bulgaria,2000-2017,2007,497
Bulgaria,2000-2017,2008,320
Bulgaria,2000-2017,2009,412
Bulgaria,2000-2017,2010,193
Bulgaria,2000-2017,2011,289
Bulgaria,2000-2017,2012,276
Bulgaria,2000-2017,2013,221
Bulgaria,2000-2017,2014,167
Bulgaria,2000-2017,2015,112
Bulgaria,2000-2017,2016,134
Bulgaria,2000-2017,2017,213
Croatia,2000-2017,2000,116
Croatia,2000-2017,2001,116
Croatia,2000-2017,2002,116
Croatia,2000-2017,2003,116
Croatia,2000-2017,2004,90
Croatia,2000-2017,2005,76
Croatia,2000-2017,2006,73
Croatia,2000-2017,2007,60
Croatia,2000-2017,2008,64
Croatia,2000-2017,2009,58
Croatia,2000-2017,2010,70
Croatia,2000-2017,2011,69
Croatia,2000-2017,2012,71
Croatia,2000-2017,2013,70
Croatia,2000-2017,2014,41
Croatia,2000-2017,2015,29
Croatia,2000-2017,2016,42
Croatia,2000-2017,2017,33
Estonia,2000-2017,2000,65
Estonia,2000-2017,2001,77
Estonia,2000-2017,2002,89
Estonia,2000-2017,2003,115
Estonia,2000-2017,2004,72
Estonia,2000-2017,2005,86
Estonia,2000-2017,2006,117
Estonia,2000-2017,2007,54
Estonia,2000-2017,2008,50
Estonia,2000-2017,2009,80
Estonia,2000-2017,2010,74
Estonia,2000-2017,2011,62
Estonia,2000-2017,2012,55
Estonia,2000-2017,2013,50
Estonia,2000-2017,2014,42
Estonia,2000-2017,2015,30
Estonia,2000-2017,2016,49
Estonia,2000-2017,2017,32
Finland,2000-2017,2000,35
Finland,2000-2017,2001,33
Finland,2000-2017,2002,31
Finland,2000-2017,2003,55
Finland,2000-2017,2004,41
Finland,2000-2017,2005,34
Finland,2000-2017,2006,37
Finland,2000-2017,2007,28
Finland,2000-2017,2008,25
Finland,2000-2017,2009,33
Finland,2000-2017,2010,32
Finland,2000-2017,2011,32
Finland,2000-2017,2012,26
Finland,2000-2017,2013,17
Finland,2000-2017,2014,16
Finland,2000-2017,2015,13
Finland,2000-2017,2016,15
Finland,2000-2017,2017,15
France,2000-2017,2000,209
France,2000-2017,2001,186
France,2000-2017,2002,231
France,2000-2017,2003,228
France,2000-2017,2004,167
France,2000-2017,2005,169
France,2000-2017,2006,152
France,2000-2017,2007,149
France,2000-2017,2008,130
France,2000-2017,2009,129
France,2000-2017,2010,116
France,2000-2017,2011,97
